iteration,total_steps,mean_episode_reward,mean_episode_length,actor_loss,critic_loss,kl_divergence,entropy,clip_fraction,mean_noise_std
0.0,2000.0,-102.61583709716797,268.875,-0.012471035149480615,0.020246604590543678,0.004522997832724026,8.261897087097168,0.0,0.49946655829747516
1.0,4000.0,-122.35465240478516,299.5,-0.008009861835411617,0.010889545854713236,0.003495704908190029,8.26355402810233,0.0,0.49827487270037335
2.0,6000.0,-98.87105560302734,293.8571472167969,-0.006227236001619271,0.0052963635884225365,0.004017506792609181,8.265247590201241,0.0,0.49821145335833233
3.0,8000.0,-101.10284423828125,268.1428527832031,-0.007426450760768992,0.005654447618871928,0.00303343846462667,8.264954594203404,0.0,0.4981878201166789
4.0,10000.0,-107.74697875976562,245.55555725097656,-0.012863822361188276,0.0038399270536111935,0.0028990679287484713,8.265757043021067,0.0,0.49724923570950824
5.0,12000.0,-94.66659545898438,239.625,-0.010357854196003505,0.0030873433952885014,0.004774075400616441,8.267112513950893,0.0,0.4972075621287028
6.0,14000.0,-122.33411407470703,291.4285583496094,-0.012300522226308072,0.003956052840554288,0.003851354740826147,8.26775575365339,0.0,0.49613164861996967
7.0,16000.0,-166.9649658203125,397.20001220703125,-0.011695458620254482,0.0034314264609877554,0.004770590724157435,8.270615659441267,0.0,0.4946959714094798
8.0,18000.0,-118.46340942382812,284.8333435058594,-0.017607166192361287,0.004678685018526656,0.004509461484849453,8.272532980782644,0.0,0.49434823791186017
9.0,20000.0,-133.09738159179688,298.5,-0.0020232669210859706,0.0037191229406744243,0.0028845003473439387,8.272457722255162,0.0,0.4948430359363556
